pricing_type,series,bore,rod,mount_group,base_price,cushion_base,per_unit_price,cushion_per_end,rod_thread_std,rod_thread_oversize,unit,source_sheet,source_row
base_cylinder,H/HM/W,1.5,0.625,MX0/MX1/MX2/MX3,642,,10,147,7/16-20,1/2-20,inch,H,7
base_cylinder,H/HM/W,1.5,0.625,MF1/MF2/MS4,714,,10,147,7/16-20,1/2-20,inch,H,7
base_cylinder,H/HM/W,1.5,0.625,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,775,,10,147,7/16-20,1/2-20,inch,H,7
base_cylinder,H/HM/W,1.5,0.625,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,965,,10,147,7/16-20,1/2-20,inch,H,7
piston_rod_assembly,H/HM/W,1.5,0.625,,161,308,9,,,,inch,H,7
base_cylinder,H/HM/W,1.5,1,MX0/MX1/MX2/MX3,765,,12,147,3/4-16,7/8-14,inch,H,8
base_cylinder,H/HM/W,1.5,1,MF1/MF2/MS4,837,,12,147,3/4-16,7/8-14,inch,H,8
base_cylinder,H/HM/W,1.5,1,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,887,,12,147,3/4-16,7/8-14,inch,H,8
base_cylinder,H/HM/W,1.5,1,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1110,,12,147,3/4-16,7/8-14,inch,H,8
piston_rod_assembly,H/HM/W,1.5,1,,192,339,11,,,,inch,H,8
base_cylinder,H/HM/W,2,1,MX0/MX1/MX2/MX3,765,,13,161,3/4-16,7/8-14,inch,H,9
base_cylinder,H/HM/W,2,1,MF1/MF2/MS4,837,,13,161,3/4-16,7/8-14,inch,H,9
base_cylinder,H/HM/W,2,1,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,910,,13,161,3/4-16,7/8-14,inch,H,9
base_cylinder,H/HM/W,2,1,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1146,,13,161,3/4-16,7/8-14,inch,H,9
piston_rod_assembly,H/HM/W,2,1,,192,353,12,,,,inch,H,9
base_cylinder,H/HM/W,2,1.375,MX0/MX1/MX2/MX3,895,,14,161,1-14,1 1/4-12,inch,H,10
base_cylinder,H/HM/W,2,1.375,MF1/MF2/MS4,966,,14,161,1-14,1 1/4-12,inch,H,10
base_cylinder,H/HM/W,2,1.375,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1037,,14,161,1-14,1 1/4-12,inch,H,10
base_cylinder,H/HM/W,2,1.375,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1263,,14,161,1-14,1 1/4-12,inch,H,10
piston_rod_assembly,H/HM/W,2,1.375,,224,385,13,,,,inch,H,10
base_cylinder,H/HM/W,2.5,1,MX0/MX1/MX2/MX3,815,,14,182,3/4-16,7/8-14,inch,H,11
base_cylinder,H/HM/W,2.5,1,MF1/MF2/MS4,894,,14,182,3/4-16,7/8-14,inch,H,11
base_cylinder,H/HM/W,2.5,1,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,962,,14,182,3/4-16,7/8-14,inch,H,11
base_cylinder,H/HM/W,2.5,1,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1225,,14,182,3/4-16,7/8-14,inch,H,11
piston_rod_assembly,H/HM/W,2.5,1,,204,386,13,,,,inch,H,11
base_cylinder,H/HM/W,2.5,1.375,MX0/MX1/MX2/MX3,986,,15,182,1-14,1 1/4-12,inch,H,12
base_cylinder,H/HM/W,2.5,1.375,MF1/MF2/MS4,1067,,15,182,1-14,1 1/4-12,inch,H,12
base_cylinder,H/HM/W,2.5,1.375,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1142,,15,182,1-14,1 1/4-12,inch,H,12
base_cylinder,H/HM/W,2.5,1.375,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1451,,15,182,1-14,1 1/4-12,inch,H,12
piston_rod_assembly,H/HM/W,2.5,1.375,,247,429,14,,,,inch,H,12
base_cylinder,H/HM/W,2.5,1.75,MX0/MX1/MX2/MX3,1115,,18,182,1 1/4-12,1 1/2-12,inch,H,13
base_cylinder,H/HM/W,2.5,1.75,MF1/MF2/MS4,1190,,18,182,1 1/4-12,1 1/2-12,inch,H,13
base_cylinder,H/HM/W,2.5,1.75,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1269,,18,182,1 1/4-12,1 1/2-12,inch,H,13
base_cylinder,H/HM/W,2.5,1.75,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1594,,18,182,1 1/4-12,1 1/2-12,inch,H,13
piston_rod_assembly,H/HM/W,2.5,1.75,,279,461,17,,,,inch,H,13
base_cylinder,H/HM/W,3.25,1.375,MX0/MX1/MX2/MX3,1010,,18,210,1-14,1 1/4-12,inch,H,14
base_cylinder,H/HM/W,3.25,1.375,MF1/MF2/MS4,1104,,18,210,1-14,1 1/4-12,inch,H,14
base_cylinder,H/HM/W,3.25,1.375,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1217,,18,210,1-14,1 1/4-12,inch,H,14
base_cylinder,H/HM/W,3.25,1.375,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1528,,18,210,1-14,1 1/4-12,inch,H,14
piston_rod_assembly,H/HM/W,3.25,1.375,,253,463,17,,,,inch,H,14
base_cylinder,H/HM/W,3.25,1.75,MX0/MX1/MX2/MX3,1226,,20,210,1 1/4-12,1 1/2-12,inch,H,15
base_cylinder,H/HM/W,3.25,1.75,MF1/MF2/MS4,1330,,20,210,1 1/4-12,1 1/2-12,inch,H,15
base_cylinder,H/HM/W,3.25,1.75,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1435,,20,210,1 1/4-12,1 1/2-12,inch,H,15
base_cylinder,H/HM/W,3.25,1.75,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1766,,20,210,1 1/4-12,1 1/2-12,inch,H,15
piston_rod_assembly,H/HM/W,3.25,1.75,,307,517,19,,,,inch,H,15
base_cylinder,H/HM/W,3.25,2,MX0/MX1/MX2/MX3,1310,,23,210,1 1/2-12,1 3/4-12,inch,H,16
base_cylinder,H/HM/W,3.25,2,MF1/MF2/MS4,1440,,23,210,1 1/2-12,1 3/4-12,inch,H,16
base_cylinder,H/HM/W,3.25,2,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1559,,23,210,1 1/2-12,1 3/4-12,inch,H,16
base_cylinder,H/HM/W,3.25,2,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1945,,23,210,1 1/2-12,1 3/4-12,inch,H,16
piston_rod_assembly,H/HM/W,3.25,2,,328,538,21,,,,inch,H,16
base_cylinder,H/HM/W,4,1.75,MX0/MX1/MX2/MX3,1260,,23,246,1 1/4-12,1 1/2-12,inch,H,17
base_cylinder,H/HM/W,4,1.75,MF1/MF2/MS4,1368,,23,246,1 1/4-12,1 1/2-12,inch,H,17
base_cylinder,H/HM/W,4,1.75,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1472,,23,246,1 1/4-12,1 1/2-12,inch,H,17
base_cylinder,H/HM/W,4,1.75,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,1871,,23,246,1 1/4-12,1 1/2-12,inch,H,17
piston_rod_assembly,H/HM/W,4,1.75,,315,561,21,,,,inch,H,17
base_cylinder,H/HM/W,4,2,MX0/MX1/MX2/MX3,1512,,26,246,1 1/2-12,1 3/4-12,inch,H,18
base_cylinder,H/HM/W,4,2,MF1/MF2/MS4,1727,,26,246,1 1/2-12,1 3/4-12,inch,H,18
base_cylinder,H/HM/W,4,2,MP1/MP3/MT1/MT2/MF5/MF6/MS2/ME5/ME6,1727,,26,246,1 1/2-12,1 3/4-12,inch,H,18
base_cylinder,H/HM/W,4,2,MS3/MP2/ME3/ME4/MT4/MPU3/MS7,2162,,26,246,1 1/2-12,1 3/4-12,inch,H,18
piston_rod_assembly,H/HM/W,4,2,,378,624,24,,,,inch,H,18
base_cylinder,H/HM/W,4,2.5,MX0/MX1/MX2/MX3,1673,,28,246,1 7/8-12,2 1/4-12,inch,H,19
