series,bore,rod,option_name,base_price,per_unit_price,unit,source_sheet,source_row
H/HM/W,1.5,0.625,Rod Extension,,14,inch,H2,8
H/HM/W,1.5,0.625,Stop Tube,57,44,inch,H2,8
H/HM/W,1.5,0.625,Stainless Steel Piston Rod,40,6,inch,H2,8
H/HM/W,1.5,0.625,Chromed Bore,490,16,inch,H2,8
H/HM/W,1.5,0.625,Thread Extension,,17,inch,H2,8
H/HM/W,,1,Rod Extension,,16,inch,H2,9
H/HM/W,,1,Stop Tube,67,51,inch,H2,9
H/HM/W,,1,Stainless Steel Piston Rod,72,7,inch,H2,9
H/HM/W,,1,Chromed Bore,490,16,inch,H2,9
H/HM/W,,1,Thread Extension,,18,inch,H2,9
H/HM/W,2,1,Rod Extension,,16,inch,H2,10
H/HM/W,2,1,Stop Tube,67,50,inch,H2,10
H/HM/W,2,1,Stainless Steel Piston Rod,72,7,inch,H2,10
H/HM/W,2,1,Chromed Bore,490,16,inch,H2,10
H/HM/W,2,1,Thread Extension,,18,inch,H2,10
H/HM/W,,1.375,Rod Extension,,18,inch,H2,11
H/HM/W,,1.375,Stop Tube,72,63,inch,H2,11
H/HM/W,,1.375,Stainless Steel Piston Rod,143,10,inch,H2,11
H/HM/W,,1.375,Chromed Bore,490,16,inch,H2,11
H/HM/W,,1.375,Thread Extension,,21,inch,H2,11
H/HM/W,2.5,1,Rod Extension,,16,inch,H2,12
H/HM/W,2.5,1,Stop Tube,72,50,inch,H2,12
H/HM/W,2.5,1,Stainless Steel Piston Rod,72,7,inch,H2,12
H/HM/W,2.5,1,Chromed Bore,490,16,inch,H2,12
H/HM/W,2.5,1,Thread Extension,,18,inch,H2,12
H/HM/W,,1.375,Rod Extension,,18,inch,H2,13
H/HM/W,,1.375,Stop Tube,73,54,inch,H2,13
H/HM/W,,1.375,Stainless Steel Piston Rod,143,10,inch,H2,13
H/HM/W,,1.375,Chromed Bore,490,16,inch,H2,13
H/HM/W,,1.375,Thread Extension,,21,inch,H2,13
H/HM/W,,1.75,Rod Extension,,19,inch,H2,14
H/HM/W,,1.75,Stop Tube,78,63,inch,H2,14
H/HM/W,,1.75,Stainless Steel Piston Rod,292,11,inch,H2,14
H/HM/W,,1.75,Chromed Bore,490,16,inch,H2,14
H/HM/W,,1.75,Thread Extension,,26,inch,H2,14
H/HM/W,3.25,1.375,Rod Extension,,18,inch,H2,15
H/HM/W,3.25,1.375,Stop Tube,78,59,inch,H2,15
H/HM/W,3.25,1.375,Stainless Steel Piston Rod,143,10,inch,H2,15
H/HM/W,3.25,1.375,Chromed Bore,490,16,inch,H2,15
H/HM/W,3.25,1.375,Thread Extension,,21,inch,H2,15
H/HM/W,,1.75,Rod Extension,,19,inch,H2,16
H/HM/W,,1.75,Stop Tube,82,70,inch,H2,16
H/HM/W,,1.75,Stainless Steel Piston Rod,292,11,inch,H2,16
H/HM/W,,1.75,Chromed Bore,490,16,inch,H2,16
H/HM/W,,1.75,Thread Extension,,26,inch,H2,16
H/HM/W,,2,Rod Extension,,20,inch,H2,17
H/HM/W,,2,Stop Tube,110,91,inch,H2,17
H/HM/W,,2,Stainless Steel Piston Rod,423,13,inch,H2,17
H/HM/W,,2,Chromed Bore,490,16,inch,H2,17
H/HM/W,,2,Thread Extension,,28,inch,H2,17
H/HM/W,4,1.75,Rod Extension,,19,inch,H2,18
H/HM/W,4,1.75,Stop Tube,98,78,inch,H2,18
H/HM/W,4,1.75,Stainless Steel Piston Rod,292,11,inch,H2,18
H/HM/W,4,1.75,Chromed Bore,490,17,inch,H2,18
H/HM/W,4,1.75,Thread Extension,,26,inch,H2,18
H/HM/W,,2,Rod Extension,,20,inch,H2,19
H/HM/W,,2,Stop Tube,107,80,inch,H2,19
H/HM/W,,2,Stainless Steel Piston Rod,423,13,inch,H2,19
H/HM/W,,2,Chromed Bore,490,17,inch,H2,19
H/HM/W,,2,Thread Extension,,28,inch,H2,19
H/HM/W,,2.5,Rod Extension,,25,inch,H2,20
H/HM/W,,2.5,Stop Tube,118,103,inch,H2,20
H/HM/W,,2.5,Stainless Steel Piston Rod,805,18,inch,H2,20
H/HM/W,,2.5,Chromed Bore,490,17,inch,H2,20
H/HM/W,,2.5,Thread Extension,,30,inch,H2,20
H/HM/W,5,2,Rod Extension,,20,inch,H2,21
H/HM/W,5,2,Stop Tube,123,100,inch,H2,21
H/HM/W,5,2,Stainless Steel Piston Rod,423,13,inch,H2,21
H/HM/W,5,2,Chromed Bore,510,17,inch,H2,21
H/HM/W,5,2,Thread Extension,,28,inch,H2,21
H/HM/W,,2.5,Rod Extension,,25,inch,H2,22
H/HM/W,,2.5,Stop Tube,132,111,inch,H2,22
