part_number,description,unit_cost,sell_price,sell_price_source,inventory_cost_values,shipvia_sell_values,acc_sell_values,all_descriptions,source_locations,review_needed,review_reason,active
062GP,Polyurethane Rod Seal,2.2,,,2.2,,,Polyurethane Rod Seal,Inventory:171,NO,,YES
062GV,Viton Rod Seal,11.0,,,11.0,,,Viton Rod Seal,Inventory:14,NO,,YES
062RWP,Polyurethane Rod Wiper,0.77,,,0.77,,,Polyurethane Rod Wiper,Inventory:159,NO,,YES
062RWV,Viton Rod Wiper,5.779999999999999,,,5.779999999999999,,,Viton Rod Wiper,Inventory:2,NO,,YES
100GP,Polyurethane Rod Seal,4.4,,,4.4,,,Polyurethane Rod Seal,Inventory:172,NO,,YES
100GV,Viton Rod Seal,13.2,,,13.2,,,Viton Rod Seal,Inventory:15,NO,,YES
100RWP,Polyurethane Rod Wiper,0.99,,,0.99,,,Polyurethane Rod Wiper,Inventory:160,NO,,YES
100RWV,Viton Rod Wiper,6.22,,,6.22,,,Viton Rod Wiper,Inventory:3,NO,,YES
138GP,Polyurethane Rod Seal,4.4,,,4.4,,,Polyurethane Rod Seal,Inventory:173,NO,,YES
138GV,Viton Rod Seal,15.4,,,15.4,,,Viton Rod Seal,Inventory:16,NO,,YES
138RWP,Polyurethane Rod Wiper,1.1,,,1.1,,,Polyurethane Rod Wiper,Inventory:161,NO,,YES
138RWV,Viton Rod Wiper,11.55,,,11.55,,,Viton Rod Wiper,Inventory:4,NO,,YES
175GP,Polyurethane Rod Seal,3.3,,,3.3,,,Polyurethane Rod Seal,Inventory:174,NO,,YES
175GV,Viton Rod Seal,18.7,,,18.7,,,Viton Rod Seal,Inventory:17,NO,,YES
175RWP,Polyurethane Rod Wiper,1.32,,,1.32,,,Polyurethane Rod Wiper,Inventory:162,NO,,YES
175RWV,Viton Rod Wiper,17.6,,,17.6,,,Viton Rod Wiper,Inventory:5,NO,,YES
200GP,Polyurethane Rod Seal,5.5,,,5.5,,,Polyurethane Rod Seal,Inventory:175,NO,,YES
200GV,Viton Rod Seal,20.9,,,20.9,,,Viton Rod Seal,Inventory:18,NO,,YES
200RWP,Polyurethane Rod Wiper,1.76,,,1.76,,,Polyurethane Rod Wiper,Inventory:163,NO,,YES
200RWV,Viton Rod Wiper,8.8,,,8.8,,,Viton Rod Wiper,Inventory:6,NO,,YES
250GP,Polyurethane Rod Seal,5.5,,,5.5,,,Polyurethane Rod Seal,Inventory:176,NO,,YES
250GV,Viton Rod Seal,23.1,,,23.1,,,Viton Rod Seal,Inventory:19,NO,,YES
250RWP,Polyurethane Rod Wiper,2.75,,,2.75,,,Polyurethane Rod Wiper,Inventory:164,NO,,YES
250RWV,Viton Rod Wiper,9.9,,,9.9,,,Viton Rod Wiper,Inventory:7,NO,,YES
300GP,Polyurethane Rod Seal,6.6,,,6.6,,,Polyurethane Rod Seal,Inventory:177,NO,,YES
300GV,Viton Rod Seal,26.4,,,26.4,,,Viton Rod Seal,Inventory:20,NO,,YES
300RWP,Polyurethane Rod Wiper,3.3,,,3.3,,,Polyurethane Rod Wiper,Inventory:165,NO,,YES
300RWV,Viton Rod Wiper,13.2,,,13.2,,,Viton Rod Wiper,Inventory:8,NO,,YES
350GP,Polyurethane Rod Seal,7.7,,,7.7,,,Polyurethane Rod Seal,Inventory:178,NO,,YES
350GV,Viton Rod Seal,30.8,,,30.8,,,Viton Rod Seal,Inventory:21,NO,,YES
350RWP,Polyurethane Rod Wiper,3.52,,,3.52,,,Polyurethane Rod Wiper,Inventory:166,NO,,YES
350RWV,Viton Rod Wiper,16.5,,,16.5,,,Viton Rod Wiper,Inventory:9,NO,,YES
400GP,Polyurethane Rod Seal,9.9,,,9.9,,,Polyurethane Rod Seal,Inventory:179,NO,,YES
400GV,Viton Rod Seal,38.5,,,38.5,,,Viton Rod Seal,Inventory:22,NO,,YES
400RWP,Polyurethane Rod Wiper,5.5,,,5.5,,,Polyurethane Rod Wiper,Inventory:167,NO,,YES
400RWV,Viton Rod Wiper,18.7,,,18.7,,,Viton Rod Wiper,Inventory:10,NO,,YES
450GP,Polyurethane Rod Seal,9.9,,,9.9,,,Polyurethane Rod Seal,Inventory:180,NO,,YES
450GV,Viton Rod Seal,47.3,,,47.3,,,Viton Rod Seal,Inventory:23,NO,,YES
450RWP,Polyurethane Rod Wiper,6.6,,,6.6,,,Polyurethane Rod Wiper,Inventory:168,NO,,YES
450RWV,Viton Rod Wiper,19.8,,,19.8,,,Viton Rod Wiper,Inventory:11,NO,,YES
500GP,Polyurethane Rod Seal,11.0,,,11.0,,,Polyurethane Rod Seal,Inventory:181,NO,,YES
500GV,Viton Rod Seal,57.2,,,57.2,,,Viton Rod Seal,Inventory:24,NO,,YES
500RWP,Polyurethane Rod Wiper,7.7,,,7.7,,,Polyurethane Rod Wiper,Inventory:169,NO,,YES
500RWV,Viton Rod Wiper,19.8,,,19.8,,,Viton Rod Wiper,Inventory:12,NO,,YES
550GP,Polyurethane Rod Seal,11.0,,,11.0,,,Polyurethane Rod Seal,Inventory:182,NO,,YES
550GV,Viton Rod Seal,7.7,,,7.7,,,Viton Rod Seal,Inventory:25,NO,,YES
550RWP,Polyurethane Rod Wiper,9.9,,,9.9,,,Polyurethane Rod Wiper,Inventory:170,NO,,YES
550RWV,Viton Rod Wiper,20.9,,,20.9,,,Viton Rod Wiper,Inventory:13,NO,,YES
A15B,Barrel,1.06,,,1.06,,,Barrel,Inventory:574,NO,,YES
A15BB,Air Nitrile Barrel Seal,1.1,,,1.1,,,Air Nitrile Barrel Seal,Inventory:720,NO,,YES
A15BV,Air Viton Barrel Seal,1.1,,,1.1,,,Air Viton Barrel Seal,Inventory:610,NO,,YES
A15CEH,Air BEH Head,26.4,,,26.4,,,Air BEH Head,Inventory:790,NO,,YES
A15CEHTT,Air BEH Head,28.6,,,28.6,,,Air BEH Head,Inventory:791,NO,,YES
A15MF1,Air MF1,22.0,,,22.0,,,Air MF1,Inventory:765,NO,,YES
A15MF2,Air MF2,16.5,,,16.5,,,Air MF2,Inventory:756,NO,,YES
A15MF5,Air MF5,49.5,,,49.5,,,Air MF5,Inventory:747,NO,,YES
A15MF6,Air MF6,33.0,,,33.0,,,Air MF6,Inventory:738,NO,,YES
A15MP1,Air BEH Head,45.1,,,45.1,,,Air BEH Head,Inventory:792,NO,,YES
A15MP2,Air BEH Head,36.3,,,36.3,,,Air BEH Head,Inventory:793,NO,,YES
A15MP3,Air BEH Head,45.1,,,45.1,,,Air BEH Head,Inventory:794,NO,,YES
A15MPU3,Air BEH Head,48.4,,,48.4,,,Air BEH Head,Inventory:795,NO,,YES
A15MS2CEH,Air BEH Head,47.3,,,47.3,,,Air BEH Head,Inventory:796,NO,,YES
A15MS2REH,Air REH Head,62.7,,,62.7,,,Air REH Head,Inventory:627,NO,,YES
A15MT1,Air REH Head,62.7,,,62.7,,,Air REH Head,Inventory:628,NO,,YES
A15MT2,Air BEH Head,78.1,,,78.1,,,Air BEH Head,Inventory:797,NO,,YES
A15MT4,Air MT4,99.0,,,99.0,,,Air MT4,Inventory:729,NO,,YES
A15P062,Air Piston,23.1,,,23.1,,,Air Piston,Inventory:678,NO,,YES
A15P100,Air Piston,27.5,,,27.5,,,Air Piston,Inventory:679,NO,,YES
A15PB,Air Nitrile Piston Seal,2.2,,,2.2,,,Air Nitrile Piston Seal,Inventory:711,NO,,YES
A15PL,Air Low Friction Piston Seal,4.4,,,4.4,,,Air Low Friction Piston Seal,Inventory:774,NO,,YES
A15PV,Air Viton Piston Seal,9.9,,,9.9,,,Air Viton Piston Seal,Inventory:601,NO,,YES
