pricing_group,series,bore,rod,option_name,base_price,per_unit_price,unit,source_sheet,source_row
position_sensing,H/A/MH related,1.5,,Gun Drilling,677,18,inch,PH,5
position_sensing,H/A/MH related,1.5,,Sensor Cover,385,,inch,PH,5
position_sensing,H/A/MH related,1.5,,Valve Manifold,882,14,inch,PH,5
position_sensing,H/A/MH related,2,,Gun Drilling,677,18,inch,PH,6
position_sensing,H/A/MH related,2,,Sensor Cover,385,,inch,PH,6
position_sensing,H/A/MH related,2,,Valve Manifold,882,14,inch,PH,6
position_sensing,H/A/MH related,2.5,,Gun Drilling,677,18,inch,PH,7
position_sensing,H/A/MH related,2.5,,Sensor Cover,385,,inch,PH,7
position_sensing,H/A/MH related,2.5,,Valve Manifold,882,14,inch,PH,7
position_sensing,H/A/MH related,3.25,,Gun Drilling,677,18,inch,PH,8
position_sensing,H/A/MH related,3.25,,Sensor Cover,385,,inch,PH,8
position_sensing,H/A/MH related,3.25,,Valve Manifold,882,14,inch,PH,8
position_sensing,H/A/MH related,4,,Gun Drilling,677,18,inch,PH,9
position_sensing,H/A/MH related,4,,Sensor Cover,385,,inch,PH,9
position_sensing,H/A/MH related,4,,Valve Manifold,882,14,inch,PH,9
position_sensing,H/A/MH related,5,,Gun Drilling,752,18,inch,PH,10
position_sensing,H/A/MH related,5,,Sensor Cover,385,,inch,PH,10
position_sensing,H/A/MH related,5,,Valve Manifold,882,14,inch,PH,10
position_sensing,H/A/MH related,6,,Gun Drilling,752,18,inch,PH,11
position_sensing,H/A/MH related,6,,Sensor Cover,385,,inch,PH,11
position_sensing,H/A/MH related,6,,Valve Manifold,882,14,inch,PH,11
position_sensing,H/A/MH related,7,,Gun Drilling,752,18,inch,PH,12
position_sensing,H/A/MH related,7,,Sensor Cover,385,,inch,PH,12
position_sensing,H/A/MH related,7,,Valve Manifold,882,14,inch,PH,12
position_sensing,H/A/MH related,8,,Gun Drilling,752,18,inch,PH,13
position_sensing,H/A/MH related,8,,Sensor Cover,385,,inch,PH,13
position_sensing,H/A/MH related,8,,Valve Manifold,882,14,inch,PH,13
position_sensing,H/A/MH related,10,,Gun Drilling,900,18,inch,PH,14
position_sensing,H/A/MH related,10,,Sensor Cover,385,,inch,PH,14
position_sensing,H/A/MH related,10,,Valve Manifold,945,14,inch,PH,14
position_sensing,H/A/MH related,12,,Gun Drilling,1109,18,inch,PH,15
position_sensing,H/A/MH related,12,,Sensor Cover,385,,inch,PH,15
position_sensing,H/A/MH related,12,,Valve Manifold,1164,14,inch,PH,15
position_sensing,H/A/MH related,14,,Gun Drilling,1370,18,inch,PH,16
position_sensing,H/A/MH related,14,,Sensor Cover,385,,inch,PH,16
position_sensing,H/A/MH related,14,,Valve Manifold,1438,14,inch,PH,16
position_sensing,H/A/MH related,16,,Gun Drilling,1687,18,inch,PH,17
position_sensing,H/A/MH related,16,,Sensor Cover,385,,inch,PH,17
position_sensing,H/A/MH related,16,,Valve Manifold,1771,14,inch,PH,17
position_sensing,H/A/MH related,18,,Gun Drilling,2081,18,inch,PH,18
position_sensing,H/A/MH related,18,,Sensor Cover,385,,inch,PH,18
position_sensing,H/A/MH related,18,,Valve Manifold,2187,14,inch,PH,18
position_sensing,H/A/MH related,20,,Gun Drilling,2566,18,inch,PH,19
position_sensing,H/A/MH related,20,,Sensor Cover,385,,inch,PH,19
position_sensing,H/A/MH related,20,,Valve Manifold,2695,14,inch,PH,19
position_sensing,IH/IMH related,25,,Gun Drilling,677,0.9,mm,PH,5
position_sensing,IH/IMH related,25,,Sensor Cover,385,,mm,PH,5
position_sensing,IH/IMH related,25,,Valve Manifold,882,0.7,mm,PH,5
position_sensing,IH/IMH related,32,,Gun Drilling,677,0.9,mm,PH,6
position_sensing,IH/IMH related,32,,Sensor Cover,385,,mm,PH,6
position_sensing,IH/IMH related,32,,Valve Manifold,882,0.7,mm,PH,6
position_sensing,IH/IMH related,40,,Gun Drilling,677,0.9,mm,PH,7
position_sensing,IH/IMH related,40,,Sensor Cover,385,,mm,PH,7
position_sensing,IH/IMH related,40,,Valve Manifold,882,0.7,mm,PH,7
position_sensing,IH/IMH related,50,,Gun Drilling,677,0.9,mm,PH,8
position_sensing,IH/IMH related,50,,Sensor Cover,385,,mm,PH,8
position_sensing,IH/IMH related,50,,Valve Manifold,882,0.7,mm,PH,8
position_sensing,IH/IMH related,63,,Gun Drilling,677,0.9,mm,PH,9
position_sensing,IH/IMH related,63,,Sensor Cover,385,,mm,PH,9
position_sensing,IH/IMH related,63,,Valve Manifold,882,0.7,mm,PH,9
position_sensing,IH/IMH related,80,,Gun Drilling,752,0.9,mm,PH,10
position_sensing,IH/IMH related,80,,Sensor Cover,385,,mm,PH,10
