row,part_number,description,unit_price,on_hand,allocation_formula,category,referenced_sheets,data_inputs
2,TR062,Tie Rod,0.12375000000000001,5534.208000000063,"=IF(AND(Data!B$3=""H"",Data!B$16="""",OR(Data!B$4=3.25,Data!B$4=4)),Data!B$2*(Data!B$8+H!AE7)*4,IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),Data!B$16="""",OR(Data!B$4=7,Data!B$4=8)),Data!B$2*(Data!B$8+H!AE7)*4,0))",length_based,Data|H,B16|B2|B3|B4|B8
3,R200,Rod,1.7480833333333334,1025.4935000000048,"=IF(AND(Data!B$17="""",Data!B$6=2),Data!B$2*(Data!B$8+H!AD$7),0)",length_based,Data|H,B17|B2|B6|B8
4,H40B,Barrel,2.9562500000000003,829.1749999999994,"=IF(AND(Data!B$4=4,Data!B$3=""H""),Data!B$2*(Data!B$8+H!AC7),0)",length_based,Data|H,B2|B3|B4|B8
5,TRN062,Tie Rod Nuts,0.45,3088,"=IF(AND(Data!B$3=""H"",OR(Data!B$4=3.25,Data!B$4=4),Data!B$16=""""),Data!B$2*8,IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),OR(Data!B$4=7,Data!B$4=8),Data!B$16=""""),Data!B$2*8,0))",quantity_or_option_based,Data,B16|B2|B3|B4
6,H40BB,H Nitrile Barrel Seal,1,244,"=IF(AND(Data!B$4=4,Data!B$10<>""V"",Data!B$3=""H""),Data!B$2*2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
7,GTOB200,Teflon Gland Oring Backup Seal,3,305,"=IF(AND(Data!B$6=2,Data!B3=""H""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B6
8,200RWP,Polyurethane Rod Wiper,1.6,4957,"=IF(Data!B$6=2,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
9,200GP,Polyurethane Rod Seal,5,458,"=IF(AND(Data!B$6=2,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
10,PIB200,Nitrile Piston ID Oring Seal,1,399,"=IF(Data!B$6=2,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
11,GBO200,Nitrile Gland Oring Seal,1,8,"=IF(AND(Data!B$6=2,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
12,H40CEH,Hyd BEH Head,76,-9,"=IF(AND(Data!B$4=4,Data!B$3=""H"",Data!B$5<>""MP1"",Data!B$5<>""MP3"",Data!B$5<>""MS2"",Data!B$5<>""MT2"",Data!B$5<>""ME4"",Data!B$5<>""MPU3"",Data!B$5<>""ME6"",Data!B$5<>""IH4""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B5
13,H40P200,H Piston,43,30,"=IF(AND(Data!B$4=4,Data!B$6=2,Data!B$3=""H""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B6
14,G200,Gland,59,220,"=IF(AND(Data!B$6=2,Data!M$2=""NO""),Data!B$2,0)",quantity_or_option_based,Data,B2|B6|M2
15,H40REH200,Hyd REH Head,81,7,"=IF(AND(Data!B$4=4,Data!B$6=2,Data!B$3=""H"",Data!B$5<>""MS2"",Data!B$5<>""MT1"",Data!B$5<>""ME3"",Data!B$5<>""ME5"",Data!B$5<>""IH3""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B5|B6
16,H40MT4,H MT4,160,3,"=IF(AND(Data!B$4=4,Data!B$3=""H"",Data!B$5=""MT4""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B5
17,H40PL,H Low Friction Piston Seal,12,14,"=IF(AND(Data!B$4=4,Data!B$3=""H"",Data!B$10=""L""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
18,TR050,Tie Rod,0.07241666666666668,14430.431999999997,"=IF(AND(Data!B$3=""H"",OR(Data!B$4=2,Data!B$4=2.5),Data!B$16=""""),Data!B$2*(Data!B$8+H!AE7)*4,IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),OR(Data!B$4=5,Data!B$4=6),Data!B$16=""""),Data!B$2*(Data!B$8+H!AE7)*4,0))",length_based,Data|H,B16|B2|B3|B4|B8
19,R100,Rod,0.5325833333333333,8641.475000000013,"=IF(AND(Data!B$17="""",Data!B$6=1),Data!B$2*(Data!B$8+H!AD$7),0)",length_based,Data|H,B17|B2|B6|B8
20,H25B,Barrel,1.5610833333333334,-7.9159999999999595,"=IF(AND(Data!B$4=2.5,Data!B$3=""H""),Data!B$2*(Data!B$8+H!AC$7),0)",length_based,Data|H,B2|B3|B4|B8
21,TRN050,Tie Rod Nuts,0.21,1392,"=IF(AND(Data!B$3=""H"",OR(Data!B$4=2,Data!B$4=2.5),Data!B$16=""""),Data!B$2*8,IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),OR(Data!B$4=5,Data!B$4=6),Data!B$16=""""),Data!B$2*8,0))",quantity_or_option_based,Data,B16|B2|B3|B4
22,CSHN,Cushion Screw Nut,2,3752,"=IF(OR(AND(Data!B$3=""H"",Data!B$4<3.6),AND(OR(Data!B$3=""A"",Data!B$3=""LH""),OR(Data!B$4=3.25,Data!B$4=4))),IF(OR(Data!B$7=""re"",Data!B$7=""ce""),1,IF(Data!B$7=""be"",2,0)),0)*Data!B$2",quantity_or_option_based,Data,B2|B3|B4|B7
23,CSHL,Cushion Screw Long (Hyd),3,3968,"=IF(OR(AND(Data!B$3=""H"",Data!B$4>=2.1,Data!B$4<3.7),AND(OR(Data!B$3=""A"",Data!B$3=""LH""),OR(Data!B$4=3.25,Data!B$4=4))),IF(OR(Data!B$7=""re"",Data!B$7=""ce""),1,IF(Data!B$7=""be"",2,0)),0)*Data!B$2",quantity_or_option_based,Data,B2|B3|B4|B7
24,H25BB,H Nitrile Barrel Seal,1,406,"=IF(AND(Data!B$4=2.5,Data!B$10<>""V"",Data!B$3=""H""),Data!B$2*2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
25,PP075,Pivot Pin,5,446,"=IF(Acc!T6<>"""",Data!B$2+Data!G$13,IF(Data!F$26=A25,Data!G$26,IF(Data!F$27=A25,Data!G$27,IF(Data!F$28=A25,Data!G$28,IF(Data!F$29=A25,Data!G$29,IF(Data!F$30=A25,Data!G$30,IF(Data!F$31=A25,Data!G$31,0)))))))",quantity_or_option_based,Acc|Data,B2|F26|F27|F28|F29|F30|F31|G13|G26|G27|G28|G29|G30|G31
26,100RWP,Polyurethane Rod Wiper,0.9,696,"=IF(Data!B$6=1,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
27,100GP,Polyurethane Rod Seal,4,405,"=IF(AND(Data!B$6=1,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
28,PIB100,Nitrile Piston ID Oring Seal,1,399,"=IF(Data!B$6=1,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
29,GBO100,Nitrile Gland Oring Seal,1,405,"=IF(AND(Data!B$6=1,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
30,G100,Gland,30,172,"=IF(AND(Data!B$6=1,Data!M$2=""NO""),Data!B$2,0)",quantity_or_option_based,Data,B2|B6|M2
31,CC100,Cushion Collar,5.5,73,"=IF(AND(Data!B$6=1,OR(Data!B$7=""BE"",Data!B$7=""RE"")),Data!B$2,0)",quantity_or_option_based,Data,B2|B6|B7
32,GTOB100,Teflon Gland Oring Backup Seal,2,438,"=IF(AND(Data!B$6=1,Data!B3=""H""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B6
33,H25REH100,Hyd REH Head,76,-30,"=IF(AND(Data!B$4=2.5,Data!B$6=1,Data!B$3=""H"",Data!B$5<>""MS2"",Data!B$5<>""MT1"",Data!B$5<>""ME3"",Data!B$5<>""ME5"",Data!B$5<>""IH3""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B5|B6
34,H25P100,H Piston,24,459,"=IF(AND(Data!B$4=2.5,Data!B$6=1,Data!B$3=""H""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B6
35,H25PL,H Low Friction Piston Seal,8,14,"=IF(AND(Data!B$4=2.5,Data!B$3=""H"",Data!B$10=""L""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
36,H25MP1,Hyd BEH Head,72,22,"=IF(AND(Data!B$4=2.5,Data!B$3=""H"",Data!B$5=""MP1""),Data!B$2,0)",quantity_or_option_based,Data,B2|B3|B4|B5
37,TR025,Tie Rod,0.01741666666666667,853.6319999999988,"=IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),Data!B$4=1.5,Data!B$16=""""),Data!B$2*(Data!B$8+H!AE7)*4,0)",length_based,Data|H,B16|B2|B3|B4|B8
38,R062,Rod,0.3180833333333334,4928.905000000037,"=IF(AND(Data!B$17="""",Data!B$6=0.625),Data!B$2*(Data!B$8+H!AD$7),0)",length_based,Data|H,B17|B2|B6|B8
39,TRN025,Tie Rod Nuts,0.25,4408,"=IF(AND(OR(Data!B$3=""A"",Data!B$3=""LH""),Data!B$4=1.5,Data!B$16=""""),Data!B$2*8,0)",quantity_or_option_based,Data,B16|B2|B3|B4
40,A15B,Barrel,0.9579166666666666,313.5,"=IF(AND(Data!B$4=1.5,OR(Data!B$3=""A"",Data!B$3=""LH"")),Data!B$2*(Data!B$8+H!AC7),0)",length_based,Data|H,B2|B3|B4|B8
41,PP050,Pivot Pin,3,459,"=IF(Acc!T5<>"""",Data!B$2+Data!G$13,IF(Data!F$26=A41,Data!G$26,IF(Data!F$27=A41,Data!G$27,IF(Data!F$28=A41,Data!G$28,IF(Data!F$29=A41,Data!G$29,IF(Data!F$30=A41,Data!G$30,IF(Data!F$31=A41,Data!G$31,0)))))))",quantity_or_option_based,Acc|Data,B2|F26|F27|F28|F29|F30|F31|G13|G26|G27|G28|G29|G30|G31
42,A15PB,Air Nitrile Piston Seal,2,82,"=IF(AND(Data!B$4=1.5,Data!B$10<>""V"",OR(Data!B$3=""A"",Data!B$3=""LH"")),Data!B$2*2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
43,A15BB,Air Nitrile Barrel Seal,1,82,"=IF(AND(Data!B$4=1.5,Data!B$10<>""V"",OR(Data!B$3=""A"",Data!B$3=""LH"")),Data!B$2*2,0)",quantity_or_option_based,Data,B10|B2|B3|B4
44,062RWP,Polyurethane Rod Wiper,0.7,116,"=IF(Data!B$6=0.625,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
45,062GP,Polyurethane Rod Seal,2,475,"=IF(AND(Data!B$6=0.625,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
46,PIB062,Nitrile Piston ID Oring Seal,1,372,"=IF(Data!B$6=0.625,Data!B$2,0)",quantity_or_option_based,Data,B2|B6
47,GBO062,Nitrile Gland Oring Seal,1,222,"=IF(AND(Data!B$6=0.625,Data!B$10<>""V""),Data!B$2,0)",quantity_or_option_based,Data,B10|B2|B6
48,G062,Gland,29,314,"=IF(AND(Data!B$6=0.625,Data!M$2=""NO""),Data!B$2,0)",quantity_or_option_based,Data,B2|B6|M2
